year,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,s&p,moodys,fitch,yield
2019,1.35,374.39,65640.71,92.32,133.44,0.6,658.52,552.69,120.44,4252.59,53.4,105.83,285.48,-12.17,160,10.3,38.56,128.2,13.24,,1.1,24.68,0.76,124.62,152.12,31.34,5.7,1.14,83.5,83.47,94.28,67.82,88.3,,0.0,100.0,1.67,49.47,0.0,0.41,0.0,0.0,0.0,3.53,3.1,BBB-,Aaa ,B- ,
2020,-5.39,340.0,59797.75,76.91,112.23,-0.2,599.22,490.69,,3175.96,59.79,108.52,369.83,707.23,160,12.42,42.21,152.0,,,-4.14,22.45,0.02,152.63,168.98,,5.69,-0.31,,,,,,,,100.0,,48.55,0.0,0.62,,,0.0,3.47,4.1,BBB-,Aaa ,B- ,
1990,,12.75,2405.54,3.74,7.04,,3.04,4.25,,,,,,,161,26.26,3.35,,,6.84,,,,,,,5.3,0.44,70.93,,,,,4024.67,0.24,100.0,,,,,,,,2.59,,BB+,A1,BB+,
1991,,14.27,2691.2,3.94,7.48,,5.93,6.6,,,,,,,161,24.68,3.52,,,114.7,,,,,,,5.3,0.08,70.88,,,,,3606.58,0.14,100.0,,,,,,,,2.63,11.58,BB+,A1,BB+,
1992,,15.5,2920.92,3.96,7.93,9.9,9.8,10.82,,,,,,,161,30.32,4.7,,,63.36,,,,,,,5.31,0.03,71.8,,,,,3410.73,0.08,100.0,,,,,,,,2.57,11.87,BB+,A1,BB+,
1993,1.9,16.52,3102.3,3.88,9.35,23.3,8.67,9.87,0.2,464.64,-0.58,-0.64,0.92,176.96,161,28.11,4.64,28.26,,50.52,,26.33,,,61.91,,5.33,0.38,72.45,57.08,49.17,62.8,59.26,3334.79,0.83,100.0,3.43,8.02,0.0,0.0,3.43,11.62,0.0,2.52,12.2,BB+,A1,BB+,
1994,6.21,20.16,3771.36,4.02,10.85,13.4,11.16,10.7,0.27,111.32,0.67,0.72,2.19,379.81,161,24.03,4.84,24.83,,78.39,6.21,22.47,11.8,,49.28,,5.35,0.39,72.3,58.14,49.03,64.91,60.47,3260.63,0.54,100.0,4.31,7.57,0.0,0.0,4.31,11.52,0.0,2.46,13.65,BB+,A1,BB+,
1995,5.84,25.84,4819.13,6.11,13.77,9.8,13.93,14.12,0.24,-15.94,0.39,0.31,3.86,145.49,161,23.79,6.15,21.6,23.24,97.96,7.87,23.63,7.4,,48.11,,5.36,0.29,72.25,60.44,48.1,68.37,64.84,3315.05,0.48,100.0,4.83,9.06,0.0,0.0,4.83,10.87,0.0,2.48,13.11,BB+,A1,BB+,
1996,6.62,27.93,5196.94,9.52,15.04,5.8,13.77,17.46,0.35,27.53,-2.09,-2.24,3.9,162.48,161,25.3,7.07,30.6,21.42,97.59,6.94,34.08,5.46,,55.75,,5.37,0.21,72.65,61.55,49.68,69.99,64.99,3364.26,0.48,100.0,4.19,8.93,0.0,0.0,4.19,11.26,0.0,2.52,11.34,BB+,A1,BB+,
1997,5.93,27.71,5146.67,9.65,14.56,6.1,14.85,17.73,0.18,102.33,-1.96,-2.01,3.6,280.74,161,22.99,6.37,33.0,20.46,70.42,4.45,34.83,6.26,,69.49,,5.38,0.18,72.7,63.56,52.96,71.17,66.56,3361.88,0.37,100.0,4.03,8.83,0.0,0.0,4.02,10.45,0.0,2.52,11.89,BB+,A1,BB+,
1998,4.08,29.86,5538.62,10.28,15.95,6.7,13.59,16.88,0.65,-34.79,-2.13,-2.33,3.24,-333.54,161,23.19,6.92,33.9,20.16,154.82,4.08,34.44,5.89,,63.93,,5.39,0.13,72.55,65.16,55.92,69.89,69.67,3256.5,0.33,100.0,4.24,8.94,0.0,0.0,4.22,10.82,0.0,2.53,12.19,BBB,A1,BB+,
1999,-0.11,30.46,5643.68,8.92,16.57,10.6,14.11,15.57,0.34,46.9,-1.16,-1.05,3.75,-15.75,161,21.08,6.42,47.1,19.75,318.71,-0.11,29.29,12.0,,62.4,,5.4,0.1,72.9,65.19,54.14,72.17,69.25,3271.41,0.36,100.0,4.46,9.26,0.0,0.0,4.43,12.46,0.0,2.55,15.95,BBB,A1,BB+,
2000,1.17,29.24,5413.15,7.89,15.92,12.0,15.52,16.21,2.18,-52.92,-0.69,-0.46,4.38,54.44,161,20.74,6.05,50.5,18.5,112.99,1.17,27.06,8.44,,62.13,,5.39,-0.14,73.05,68.27,58.83,75.09,70.89,3292.61,0.41,100.0,4.6,9.08,0.0,0.0,4.57,15.67,0.0,2.59,19.06,BBB,A1,BB+,8.34
2001,3.25,30.78,5717.22,9.43,17.19,7.3,17.57,19.85,1.53,181.64,-1.74,-1.64,4.45,132.29,161,20.89,6.43,51.1,17.28,164.04,3.25,30.65,6.57,,65.84,,5.38,-0.18,73.4,70.99,61.72,77.61,73.65,3456.71,0.36,100.0,5.06,9.07,0.0,0.0,4.88,16.25,0.0,2.63,19.38,BBB,A1,BB+,7.75
2002,4.51,35.3,6533.55,10.57,19.66,3.1,20.01,22.27,4.21,9.79,-1.95,-1.7,9.2,298.07,161,20.38,7.16,45.3,17.12,152.65,4.51,30.09,3.1,,64.41,,5.38,-0.04,73.6,71.35,60.1,78.86,75.09,3483.87,0.26,100.0,5.39,8.28,0.0,0.0,5.22,17.06,0.0,2.62,18.72,BBB,A1,A,5.12
2003,5.5,46.92,8712.7,11.98,25.37,8.6,29.18,29.41,0.97,58.86,-0.28,-0.41,12.15,25.8,161,20.71,9.7,43.2,17.68,161.87,5.5,25.58,9.24,,51.59,,5.37,-0.07,73.6,74.32,66.58,80.46,75.91,3468.78,0.26,100.0,3.58,8.94,0.0,0.0,3.45,16.97,0.0,2.66,17.12,BBB,A1,A,5.42
2004,5.28,57.44,10671.82,15.34,32.09,7.5,39.59,40.48,4.06,-125.44,-4.36,-1.74,14.91,63.4,161,18.83,10.8,41.7,17.29,234.79,5.28,26.75,5.78,,50.43,,5.37,-0.02,73.96,78.99,78.81,81.88,76.29,3416.25,0.3,100.0,4.12,8.72,0.01,0.0,4.06,16.18,0.0,2.67,18.6,A-,A1,A,4.58
2005,6.62,62.81,11685.75,18.63,34.52,2.7,45.39,47.36,3.92,176.15,-5.13,-2.65,15.48,397.29,161,18.48,11.6,34.7,18.01,,6.62,29.67,3.66,,52.26,,5.37,0.01,73.9,79.95,79.64,81.96,78.23,3504.48,0.32,100.0,4.67,8.37,0.01,0.0,4.59,16.34,0.0,2.66,16.26,A,A1,A,3.62
2006,8.49,70.77,13159.76,20.13,38.82,4.5,57.44,58.96,5.7,43.74,-5.45,-2.33,13.36,315.99,161,18.77,13.27,31.4,16.8,,8.49,28.47,3.48,54.46,48.74,15.01,5.37,0.0,74.2,80.69,79.86,83.52,78.68,3469.29,0.3,100.0,4.83,7.86,0.01,0.0,4.36,16.6,0.0,2.65,13.37,A,A1,A,4.15
2007,10.83,86.56,16085.61,24.38,46.88,2.8,72.09,71.71,5.06,257.77,-4.63,-0.62,18.97,179.07,161,17.14,14.82,30.3,16.75,,10.83,28.21,2.33,54.68,51.11,13.75,5.37,0.03,74.21,82.23,80.33,84.35,82.02,3320.45,0.32,100.0,4.96,7.1,0.01,0.0,4.41,14.16,0.0,2.65,11.14,A,A1,A,4.61
2008,5.57,100.88,18677.29,28.55,56.09,4.6,80.52,82.31,4.64,103.8,-6.27,-2.24,18.84,-3478.36,161,17.53,17.62,28.6,16.45,,5.58,28.41,3.47,52.29,53.83,13.18,5.38,0.09,74.7,81.94,78.8,85.07,81.94,3405.69,0.39,100.0,4.58,6.99,0.01,0.0,4.0,15.45,0.0,2.68,9.51,A,A1,A,4.72
2009,-5.46,89.4,16531.67,18.26,53.14,1.6,60.58,60.73,1.52,183.29,-3.02,-0.86,1.8,-983.79,161,19.99,17.8,36.4,15.52,,-5.46,20.5,0.04,60.58,63.94,19.08,5.39,0.13,74.91,81.98,78.84,85.23,81.87,3106.69,0.27,100.0,4.92,6.46,0.01,0.0,4.32,13.08,0.0,2.67,12.03,A,A1,A,4.12
2010,6.29,90.8,16825.35,21.93,51.58,1.0,69.73,70.01,2.12,-9.25,-4.21,-0.97,2.16,-358.08,161,19.27,17.48,40.8,15.06,,5.87,23.84,1.3,58.4,63.42,18.75,5.39,0.09,75.11,82.03,78.88,85.37,81.83,3306.81,0.34,100.0,5.93,6.47,0.01,0.02,5.18,13.54,0.0,2.68,14.38,A,A1,A,4.06
2011,2.64,99.49,18406.01,25.23,55.16,3.9,84.16,83.46,5.43,94.49,-4.91,-0.46,2.42,-978.12,161,18.4,18.28,43.3,16.04,,2.85,25.21,4.59,55.74,63.04,16.85,5.4,0.13,75.96,82.16,78.46,85.66,82.35,3213.95,0.36,100.0,4.54,7.31,0.01,0.4,3.21,14.34,0.0,2.69,13.62,A+,A1,A,5.21
2012,1.36,94.25,17430.83,19.24,52.94,3.6,85.95,80.74,1.78,0.18,0.89,3.77,2.52,-2296.59,161,17.89,16.87,51.9,15.58,,1.9,20.65,3.35,57.59,63.76,17.52,5.41,0.17,76.11,81.9,77.69,85.68,82.32,3080.73,0.32,100.0,5.15,6.83,0.01,0.42,3.69,14.41,0.0,2.71,13.96,A+,A1,A,3.92
2013,0.65,98.57,18203.24,20.35,54.78,1.4,92.42,86.89,1.0,85.68,1.8,4.47,2.15,-3931.77,161,18.14,17.88,54.9,16.75,,0.67,20.9,0.35,60.41,63.72,15.92,5.41,0.11,76.41,81.92,78.24,85.65,81.85,3130.93,0.29,100.0,5.92,5.97,0.01,0.59,4.33,13.95,0.0,2.72,14.22,A+,A1,A,2.69
2014,2.72,101.09,18630.98,21.77,55.72,-0.1,92.59,87.72,-0.36,17.74,1.2,3.94,2.62,-2470.21,161,18.42,18.6,53.7,17.5,,2.64,21.74,-0.15,62.26,64.76,15.09,5.42,0.1,76.81,83.16,82.28,84.7,82.5,2943.19,0.29,100.0,5.91,4.96,0.01,0.6,3.76,14.42,0.0,2.72,13.18,A+,A1,A,1.22
2015,5.22,88.64,16335.65,21.59,47.81,-0.3,81.4,78.68,1.52,67.95,-1.85,1.03,2.89,-1485.28,161,18.6,16.48,51.8,18.16,,4.82,24.25,-0.46,65.6,67.05,14.34,5.42,0.1,76.56,82.93,81.03,85.25,82.5,3003.66,0.26,100.0,5.99,5.0,0.01,0.51,3.7,14.08,0.0,2.74,11.48,A+,A1,A,0.72
2016,1.93,89.67,16501.08,20.62,49.38,-0.5,84.02,81.37,4.74,-38.25,-2.43,1.84,2.88,-881.28,161,18.94,16.97,52.4,18.15,,2.09,22.62,0.26,68.34,69.78,12.73,5.43,0.13,77.17,82.96,81.64,85.23,82.01,,0.27,100.0,6.71,4.95,0.01,0.53,4.3,13.73,0.0,2.76,9.67,A+,A1,A,1.01
2017,2.98,95.39,17494.73,21.68,53.37,1.3,90.71,88.63,4.23,147.91,-1.85,1.66,3.62,-1348.93,161,18.95,18.03,51.6,18.62,,2.98,23.11,2.02,69.41,70.37,10.17,5.44,0.16,77.17,83.7,83.07,85.19,82.84,,0.33,100.0,6.68,5.31,0.01,0.51,4.32,14.02,0.0,2.76,8.13,A+,A1,A,0.67
2018,3.79,105.61,19380.51,24.39,59.53,2.5,101.64,99.66,2.25,19.04,-2.29,0.85,5.23,-1286.03,161,18.63,19.66,49.6,18.61,,3.79,23.2,1.89,69.65,71.62,9.54,5.45,0.14,77.27,82.66,82.52,84.48,80.98,,0.28,100.0,5.84,5.55,0.01,0.59,3.51,13.79,0.0,2.75,6.54,A+,A1,A,0.94
2019,2.61,105.28,19303.54,24.73,59.55,2.7,97.14,96.72,2.31,109.0,-3.53,0.1,7.17,1237.27,161,19.55,20.58,48.1,18.7,,2.61,23.59,3.15,72.44,71.81,8.94,5.45,0.14,77.47,82.71,82.26,84.47,81.39,,0.25,100.0,6.16,5.56,0.01,0.59,4.27,14.28,0.0,2.75,5.75,A+,A1,A,0.13
2020,-4.36,105.17,19266.51,20.35,61.27,1.9,89.86,88.88,,-68.33,0.2,2.48,9.34,-66.99,161,21.46,22.57,59.7,,,-4.36,18.86,1.59,80.43,77.99,,5.46,0.09,,,,,,,,100.0,6.69,5.49,0.0,0.66,4.47,14.05,0.0,2.72,6.69,A+,A1,A,-0.52
1976,2.25,36.6,1416.71,11.12,20.88,11.0,9.84,10.27,0.02,0.0,-1.91,-0.43,2.13,1316.75,165,13.58,4.97,,18.23,,,,,57.7,58.08,,25.84,2.52,55.99,40.61,39.6,46.1,36.13,2161.07,5.79,,,,,,,,,,,BBB-,Baa2,B,11.0
1977,-0.09,40.65,1535.12,12.09,23.14,11.2,11.91,9.94,-0.12,0.0,0.24,1.97,2.02,-638.25,165,13.05,5.3,,19.09,,,,,57.17,58.6,,26.48,2.46,56.54,40.2,38.05,47.63,34.91,2152.22,6.16,,,,,,,,,,,BBB-,Baa2,B,10.69
1978,3.01,46.74,1722.23,12.46,25.81,11.1,14.67,11.63,-0.11,0.0,1.1,3.05,2.64,-1059.15,165,13.81,6.45,,19.15,,,,,57.68,57.36,,27.14,2.45,57.07,39.47,35.29,47.99,35.13,2218.84,5.22,,,,,,,,,,,BBB-,Baa2,B,9.72
1979,3.79,57.65,2071.55,15.78,30.95,13.3,19.7,14.41,-0.48,0.0,2.97,5.28,5.57,-2950.85,165,13.75,7.93,,19.3,,,,,56.45,55.27,,27.83,2.5,57.59,39.3,35.73,47.01,35.18,2234.7,8.6,,,,,,,,,,,BBB-,Baa2,B,9.32
1980,6.62,82.98,2905.81,26.02,42.19,13.7,28.5,22.03,-0.01,0.0,3.16,6.36,7.89,-2407.69,165,12.97,10.76,,19.18,,,,,52.09,49.36,7.86,28.56,2.59,58.11,39.55,36.57,46.79,35.3,2289.56,14.58,,0.99,92.08,0.0,0.0,0.99,0.0,0.0,,,BBB-,Baa2,B,11.81
1981,5.36,85.45,2913.24,29.15,46.44,15.3,23.47,25.14,0.07,0.0,-4.98,-1.5,4.36,3575.48,165,13.69,11.7,,18.6,,,,13.16,52.61,51.41,5.54,29.33,2.68,58.64,39.18,35.84,46.19,35.52,2451.92,11.99,,1.66,105.28,0.0,0.0,1.66,0.0,0.0,,,BBB-,Baa2,B,13.33
1982,-0.38,78.42,2601.06,20.8,44.12,14.6,20.09,20.41,0.33,0.0,-3.53,-0.41,3.94,4369.19,165,15.38,12.06,,19.86,,,,11.63,52.6,52.84,5.64,30.15,2.75,59.19,39.06,35.99,45.8,35.4,2594.19,11.77,,1.02,110.92,0.0,0.0,1.02,0.0,0.0,,,BBB-,Baa2,B,11.31
1983,-1.85,87.42,2820.43,23.75,50.14,12.3,20.94,17.79,0.07,0.0,-0.32,3.23,3.79,1275.02,165,15.08,13.18,,19.75,,,,12.5,52.35,54.31,5.0,30.99,2.76,59.77,38.84,35.59,45.7,35.23,2569.61,9.79,,0.6,113.3,0.0,0.0,0.6,0.0,0.0,,,BBB-,Baa2,B,13.64
1984,5.1,77.34,2429.03,19.76,44.04,11.5,19.09,17.73,0.42,0.0,-1.95,1.3,2.51,1359.97,165,16.78,12.98,,20.96,,,,11.11,53.53,56.09,3.67,31.84,2.7,60.35,39.02,36.81,45.15,35.11,2713.66,5.58,,0.56,122.93,0.0,0.0,0.56,3.93,0.0,,,BBB-,Baa2,B,16.26
1985,-1.21,59.08,1807.98,13.03,33.07,16.3,17.99,12.92,-0.45,-157.1,2.26,5.03,1.9,-801.55,165,17.09,10.1,,22.71,,,,20.0,53.16,56.81,4.31,32.68,2.6,60.95,39.69,38.9,45.43,34.73,2643.91,11.36,,0.62,127.32,0.0,0.0,0.62,5.32,0.0,,,BBB-,Baa2,B,18.09
1986,0.02,67.52,2015.81,14.19,38.42,18.7,19.99,14.23,-0.05,-599.56,2.77,5.76,2.25,100.64,165,17.52,11.83,,21.86,,,,16.67,49.36,53.99,5.1,33.5,2.47,61.54,39.8,38.04,45.52,35.82,2686.26,9.27,,1.62,127.87,0.0,0.0,1.62,8.8,0.0,,,BBB-,Baa2,B,15.26
1987,2.1,88.57,2582.49,15.75,51.59,16.2,25.96,17.45,-0.19,-623.06,5.1,8.5,3.46,-698.4,165,18.3,16.21,,21.7,,,,15.48,50.48,53.21,5.11,34.3,2.37,62.11,38.71,34.87,45.42,35.84,2718.5,7.49,,1.62,134.25,0.0,0.0,1.62,6.17,0.0,,,BBB-,Baa2,B,15.46
1988,4.2,95.18,2711.52,20.2,56.18,12.8,26.83,20.85,0.16,-267.54,2.53,5.98,2.2,-905.11,165,17.78,16.93,,22.77,,,,12.37,53.44,56.41,5.31,35.1,2.31,62.62,37.96,32.96,45.29,35.62,2763.77,7.36,,3.16,134.5,0.0,0.0,3.16,10.49,0.0,,,BBB-,Baa2,B,16.71
1989,2.39,99.03,2756.21,22.53,57.77,14.7,25.62,20.52,-0.2,442.64,1.5,5.08,2.19,-295.25,165,17.74,17.56,,25.3,,,,15.6,53.67,56.63,5.69,35.93,2.33,63.03,37.93,31.64,44.85,37.29,2585.62,6.74,,2.76,139.55,0.0,0.0,2.76,11.1,0.0,,,BBB-,Baa2,B,15.85
1990,-0.32,115.55,3139.97,22.43,70.89,14.3,27.15,21.02,-0.08,388.46,1.55,6.14,2.58,-159.89,165,18.56,21.45,,23.11,,,,15.08,52.16,55.18,4.38,36.8,2.39,63.31,38.09,31.62,44.73,37.91,2471.6,5.79,,1.01,146.57,0.0,0.0,1.01,8.45,0.0,12.45,,BBB-,Baa2,B,15.96
1991,-1.02,123.94,3285.97,23.58,76.67,15.3,26.15,21.01,0.25,-1445.67,1.4,5.12,3.19,176.26,165,18.66,23.13,,22.9,,,,15.86,53.36,,,37.72,2.47,63.38,37.3,29.66,44.2,38.03,2518.12,5.74,,1.98,147.76,0.0,0.0,1.98,9.14,0.0,12.85,29.95,BBB-,Baa2,B,16.66
1992,-2.14,134.55,3479.08,22.56,84.25,13.9,27.86,22.58,0.0,-187.86,1.98,5.29,3.21,-1221.31,165,18.97,25.52,,20.62,,,,9.52,48.95,58.74,3.52,38.67,2.5,63.25,37.11,29.19,44.09,38.03,2290.67,4.49,,0.75,147.06,0.0,0.0,0.75,9.29,0.0,13.28,29.98,BBB-,Baa2,B,14.9
1993,1.23,147.2,3713.92,20.84,93.94,9.7,29.31,23.23,0.01,895.21,2.8,6.1,2.88,-2467.36,165,18.12,26.67,,19.87,270.45,1.23,14.16,9.78,45.5,58.41,4.74,39.63,2.45,62.89,39.41,34.18,45.22,38.82,2395.38,4.37,,0.15,155.89,0.0,0.0,0.15,7.26,0.0,13.71,29.92,BBB-,Baa2,B,12.34
1994,3.2,153.51,3784.45,25.28,98.96,8.9,30.01,26.96,0.37,88.09,0.03,3.06,3.29,-514.49,165,18.19,27.92,,19.6,293.08,3.2,16.47,9.41,47.61,60.37,4.33,40.56,2.32,62.33,41.97,36.53,46.57,42.8,2420.08,4.83,,1.07,159.95,0.0,0.0,1.07,9.7,0.0,14.14,29.89,BBB-,Baa2,B,16.8
1995,3.1,171.74,4144.61,30.4,111.11,8.7,34.41,33.39,1.25,2913.6,-2.49,1.03,4.46,-891.97,165,16.53,28.38,,20.3,386.17,3.1,17.7,7.24,48.62,61.88,4.4,41.44,2.13,61.56,45.35,36.6,52.05,47.39,2498.89,4.05,,0.53,164.24,0.0,0.0,0.53,11.3,0.0,14.56,29.89,BBB-,Baa2,B,14.56
1996,4.3,163.24,3864.42,27.05,105.35,7.4,35.54,33.34,0.82,2318.46,-1.68,2.19,2.34,-2447.49,165,17.42,28.44,,20.98,362.34,4.3,16.57,9.28,49.37,64.28,4.32,42.24,1.92,60.6,46.03,34.96,55.31,47.81,2504.9,4.63,57.6,1.38,173.86,0.0,0.0,1.32,11.78,0.0,14.94,29.87,BBB-,Baa2,B,16.19
1997,2.6,168.98,3930.84,27.53,110.34,8.6,36.6,34.88,3.81,5472.63,-2.23,1.71,5.96,-1189.39,165,17.49,29.56,,21.25,495.59,2.6,16.29,6.18,52.49,67.11,5.26,42.99,1.75,59.49,50.01,39.58,62.0,48.46,2527.94,3.64,69.48,2.24,181.14,0.0,0.0,2.09,12.65,0.0,15.32,29.91,BBB-,Baa2,B,14.14
1998,0.5,152.98,3502.17,25.13,100.32,6.9,34.45,32.92,0.55,8632.32,-2.2,1.73,5.51,-1837.24,165,17.1,26.16,,21.96,515.64,0.5,16.43,9.09,55.08,72.52,6.07,43.68,1.6,58.31,52.06,42.64,63.97,49.56,2471.48,3.23,64.9,1.83,176.49,0.0,0.0,1.6,13.6,0.0,15.7,29.95,BBB-,Baa2,B,16.36
1999,2.4,151.52,3417.26,23.72,100.07,5.2,33.74,30.29,1.5,9001.05,-0.68,3.46,7.5,-556.0,165,16.81,25.47,,21.76,543.27,2.4,15.66,2.33,55.73,72.27,6.0,44.34,1.49,57.14,57.58,46.79,75.92,50.02,2464.32,2.43,71.33,0.92,175.65,0.0,0.0,0.73,12.84,0.0,16.08,29.91,BBB-,Baa2,B,13.96
2000,4.2,151.75,3374.72,22.85,99.59,5.3,37.03,33.11,0.97,4168.64,-0.19,3.92,7.7,641.54,165,16.57,25.14,42.21,20.98,490.01,4.2,15.06,6.52,52.71,72.99,5.66,44.97,1.41,56.05,60.92,55.2,77.11,50.45,2424.88,3.37,72.28,1.65,181.81,0.0,0.0,1.34,13.01,0.0,16.46,29.88,BBB-,Baa2,B,12.88
2001,2.7,135.43,2971.82,19.74,88.45,5.7,35.69,30.9,7.27,-962.21,0.34,4.87,7.63,949.21,165,16.62,22.51,42.4,21.7,428.88,2.7,14.57,4.89,45.72,80.14,5.71,45.57,1.33,55.09,62.81,56.82,80.02,51.58,2461.03,4.79,70.2,2.37,183.45,0.0,0.0,2.06,10.72,0.0,16.81,30.69,BBB-,Baa2,B,11.63
2002,3.7,129.09,2797.09,19.41,80.91,9.5,36.7,32.32,1.48,-388.0,1.01,4.36,7.82,-686.31,165,16.78,21.66,35.55,20.82,506.96,3.7,15.04,12.25,41.01,62.32,6.29,46.15,1.26,54.31,63.57,58.19,80.47,52.06,2384.14,4.4,76.7,2.67,188.95,0.0,0.02,2.36,11.99,0.0,17.15,33.29,BBB-,Baa2,B,10.44
2003,2.95,197.02,4217.11,30.85,121.96,5.7,47.12,42.97,0.78,685.32,-1.54,4.05,8.15,3051.83,165,16.87,33.23,35.43,20.49,642.15,2.95,15.66,0.26,41.17,67.9,7.13,46.72,1.22,53.75,64.5,57.47,82.78,53.24,2518.33,2.85,78.8,1.09,204.52,0.01,0.02,0.78,12.66,0.0,17.51,32.31,BBB-,Baa2,B,9.15
2004,4.55,255.81,5409.13,43.39,162.87,-0.7,58.22,58.54,0.7,6661.13,-6.41,-0.41,14.89,5250.66,165,17.0,43.5,34.39,21.7,631.61,4.56,16.96,3.63,39.0,69.53,7.03,47.29,1.22,53.44,64.52,54.22,84.61,54.72,2716.29,4.82,80.9,1.26,212.73,0.01,0.02,0.94,14.28,0.0,17.88,29.45,BBB-,Baa2,B,8.38
2005,5.28,288.87,6033.1,48.62,183.7,2.1,68.17,68.83,6.52,7230.03,-8.02,-0.63,20.62,1158.48,165,16.15,46.65,33.21,22.97,681.23,5.28,16.83,3.5,42.3,72.57,6.67,47.88,1.24,53.45,64.95,53.4,85.29,56.17,2678.55,4.36,80.8,1.64,215.37,0.01,0.02,1.32,12.24,0.0,18.25,29.12,BBB-,Baa2,B,7.57
2006,5.6,303.86,6266.53,56.18,193.15,3.2,79.3,84.08,0.62,14958.98,-12.15,-4.63,25.59,-307.76,165,15.86,48.19,31.35,24.38,723.24,5.6,18.49,6.04,43.38,80.01,6.39,48.49,1.26,53.79,66.06,55.52,85.66,57.01,2625.79,4.95,80.7,3.19,223.36,0.01,0.02,2.87,10.07,0.0,18.6,28.34,BBB-,Baa2,B,7.81
2007,5.36,333.08,6780.88,64.37,211.4,6.2,93.12,97.15,6.59,8669.9,-16.19,-4.0,32.92,342.57,165,15.89,52.91,27.06,24.81,795.12,5.36,19.33,8.66,45.36,84.52,6.22,49.12,1.29,54.45,68.35,57.79,86.3,60.95,2775.62,6.13,82.0,1.18,233.05,0.01,0.02,0.86,12.6,0.0,18.97,26.54,BBB-,Baa2,B,8.29
2008,3.19,316.13,6350.65,67.3,199.28,10.1,101.97,106.6,9.89,-4706.98,-16.4,-4.93,34.07,6599.46,165,17.07,53.97,26.51,24.32,1114.91,3.19,21.29,10.07,46.16,85.4,8.72,49.78,1.33,55.36,68.71,56.52,86.94,62.68,2950.15,11.9,81.9,1.52,226.47,0.02,0.02,1.19,12.75,0.0,19.36,22.41,BBB-,Baa2,B,7.82
2009,-1.54,329.75,6532.74,61.88,204.46,7.2,82.38,81.14,7.62,9363.57,-7.86,1.52,39.6,-6538.65,165,17.79,58.68,30.08,21.89,1074.18,-1.54,18.77,6.31,43.17,85.0,10.4,50.48,1.39,56.46,67.31,52.94,86.91,62.07,2852.1,4.96,82.6,1.72,218.3,0.03,0.02,1.39,11.57,0.0,19.11,23.52,BBB-,Baa2,B,9.03
2010,3.04,417.37,8148.96,73.44,260.3,4.1,107.61,102.77,3.69,5826.05,-5.42,4.98,43.82,-2117.64,165,18.0,75.11,34.7,22.52,1036.27,3.04,17.6,3.47,40.26,81.29,10.94,51.22,1.46,57.67,68.5,54.43,87.78,63.29,2768.09,6.6,82.9,2.48,227.61,0.03,0.02,2.09,12.9,0.0,18.9,24.68,BBB-,Baa2,B,8.38
2011,3.17,458.2,8810.93,86.39,288.36,5.0,126.91,123.43,4.14,63.23,-9.25,3.58,48.75,-3196.42,165,18.2,83.37,38.2,22.88,1396.97,3.17,18.85,6.15,41.02,79.31,11.72,52.0,1.52,58.9,69.5,56.39,87.6,64.49,2716.68,7.22,83.6,2.44,229.1,0.04,0.02,2.04,12.94,0.0,19.23,24.64,BBB-,Baa2,BBB+,8.51
2012,2.4,434.4,8222.2,80.73,279.33,5.7,117.89,123.56,4.63,7159.07,-20.35,-5.62,50.69,-3948.27,165,18.82,81.76,41.0,23.35,1065.83,2.4,18.59,5.67,40.86,80.29,11.66,52.83,1.58,60.06,70.0,56.99,88.16,64.85,2636.68,5.8,85.3,1.61,226.88,0.04,0.03,1.19,12.4,0.0,19.75,24.73,BBB-,Baa2,BBB+,7.37
2013,2.49,400.89,7467.08,76.84,256.03,5.8,113.77,122.25,8.23,7282.9,-21.4,-8.51,49.71,2757.61,165,19.08,76.49,44.0,23.83,1295.34,2.49,19.17,5.36,40.82,77.99,10.71,53.69,1.6,61.1,70.57,57.24,88.01,66.45,2602.85,5.45,85.2,1.53,223.32,0.01,0.05,1.11,13.61,0.0,20.36,24.56,BBB-,Baa2,BBB,8.32
2014,1.41,381.2,6988.81,70.48,242.81,6.1,110.55,116.26,5.79,9337.81,-18.34,-5.76,49.12,-4654.83,165,19.31,73.62,46.9,24.43,1077.4,1.41,18.49,5.33,41.75,78.91,11.84,54.54,1.58,61.97,70.64,56.96,87.8,67.16,2695.51,4.15,85.9,3.38,218.39,1.06,1.01,0.9,14.76,0.0,20.83,24.89,BBB-,Baa2,BBB,7.84
2015,1.32,346.71,6259.84,64.6,220.79,4.5,96.09,100.59,1.52,8499.11,-14.94,-4.46,45.89,-1408.37,165,18.99,65.82,49.8,25.05,1420.27,1.32,18.63,5.28,43.88,80.13,11.9,55.39,1.53,62.65,70.51,56.34,87.97,67.22,,2.74,85.3,5.81,214.96,2.5,1.95,0.8,10.97,0.0,21.69,25.15,BBB-,Baa2,BBB-,9.34
